,x,y,z
417,847979.1341380195,460147.8421695102,481.0
418,371732.8855721765,422091.3905944945,1587.0
419,119380.47578786738,32745.48098917678,919.0
420,784143.3712990133,508253.99955491535,909.0
421,836744.7538765026,501513.07810409926,753.0
422,806008.1405461961,490615.6138875084,990.0
423,593458.869261639,321364.96873248834,1412.0
424,729361.5411478616,376241.04237797856,808.0
425,162457.0255308551,290084.1841299217,1882.0
426,748165.1957438656,480783.6784679163,924.0
427,586541.1813821427,461887.3371923184,2081.0
428,411834.9811559666,323922.0346642649,2481.0
429,720775.4870340829,492263.8869886007,1205.0
430,428641.3194411209,402228.55241613276,2513.0
431,504086.13548816874,327414.92792878393,1675.0
432,500540.14544762013,248732.0874572089,109.0
433,301957.2747930348,417861.2755216593,402.0
434,646659.9064464548,412475.5455164509,2487.0
435,113165.30537991598,204126.09131910652,1394.0
436,474434.7901640168,381287.20981846657,2143.0
437,683640.2986059457,428270.97834004276,1623.0
438,519564.6947380469,255730.67831731122,79.0
439,467236.05612830486,334136.76969194505,921.0
440,211642.50735622522,273894.1130234152,2678.0
441,475448.4810306598,334935.64185678307,915.0
442,597687.9286949467,311284.13631602656,655.0
443,780050.0843311092,383811.3251708206,751.0
444,808519.9470237938,447894.19622334186,749.0
445,865022.6821206675,544726.1471047271,177.0
446,123599.36609902896,178968.49605179485,2107.0
447,444504.2015714099,259550.18845081143,792.0
448,195450.14894373663,305798.04483356327,2652.0
449,622404.2658657045,367075.85049853753,1137.0
450,176056.0558475933,42513.57324696984,316.0
451,596405.6714208089,489201.0593837006,950.0
452,170199.27971678384,120538.78229247965,1397.0
453,279431.37175699294,257565.6718500927,198.0
454,449231.8423504342,347882.3907431057,1188.0
455,518196.61906139384,302765.2167902589,1897.0
456,100968.16329318221,191879.8716135919,2315.0
457,584551.1111543304,456425.14525404945,1404.0
458,195063.5122404524,252611.7549719978,1073.0
459,131978.66823806107,132733.98879185412,2076.0
460,593067.2326924421,405396.2289802637,2537.0
461,860907.5768305508,543927.0967008853,178.0
462,715467.632270145,347435.15670265444,864.0
463,131523.34128170303,192642.12084297463,2875.0
464,819769.4567632687,471449.23745964654,776.0
465,124945.16473151231,85850.12784249522,1535.0
466,730085.1467390202,413854.1298572589,1039.0
467,742828.0489114204,356670.6944152834,1208.0
468,463654.5524230345,354435.48881926015,904.0
469,338072.36797452305,307573.70236844104,1677.0
470,200402.74812046567,314788.48974774126,960.0
471,621600.3039421798,430094.224905977,970.0
472,811894.1186391562,497038.91660922393,813.0
473,136775.7767516137,201746.71581758838,1633.0
474,831886.0746303785,511430.30306357983,865.0
475,343571.31831087434,373448.74039455503,593.0
476,498167.5756580078,342397.37038523983,867.0
477,582983.6490421945,293785.66769848857,67.0
478,409440.66803585977,261922.4942511553,1154.0
479,669208.9285330465,330570.4418965969,437.0
480,511696.6585400524,286436.50150076207,1465.0
481,267934.63301052025,271758.13633992523,714.0
482,543759.9817973983,378546.4319472201,2204.0
483,513345.4920577921,260398.1529899016,248.0
484,449588.0557190916,223511.36108618416,101.0
485,39547.81066158204,174259.79405311402,1163.0
486,624020.5950359271,404163.3578589456,2031.0
487,342738.360981467,435649.76601609495,915.0
488,207898.12877421052,354669.3780672075,1765.0
489,328295.48101440317,424841.8833086379,925.0
490,269158.9542989188,318821.81095656473,2481.0
491,744937.7254190836,410750.587377131,1317.0
492,732150.5362812136,515331.81812987477,648.0
493,346178.1951994724,268485.73011703603,880.0
494,171110.6927209699,60410.16223961953,1199.0
495,127549.80654688628,46659.458616222255,1341.0
496,810300.1645580826,453601.38971612416,1136.0
497,511817.35245976,447204.13803994097,1535.0
498,121897.85466267931,141442.80269382615,890.0
499,140433.5506207223,216760.80559477303,2786.0
500,380588.01567471895,397636.1882829508,2208.0
501,309399.5603484866,306054.4862062419,1047.0
502,383731.06064740516,377629.4092232473,2241.0
503,633736.4111367809,442252.94340933487,999.0
504,833241.037401306,424955.5055760434,379.0
505,151264.39545366907,61130.361327143386,895.0
506,630137.7756681736,410237.08743015863,1851.0
507,230433.6380669698,352472.93502146844,2128.0
508,154687.1742516121,163438.37774519436,2058.0
509,601735.7582645251,343436.3794094175,1385.0
510,318129.4224485647,350321.93008571304,2242.0
511,280636.4851095315,367545.76049038395,2220.0
512,151822.0084360456,245341.35990935937,2330.0
513,455065.1325794813,265633.8650970282,62.0
514,503374.3266566266,415343.2939258665,2414.0
515,782949.8473170742,529429.0749975117,389.0
516,533618.6207042811,392966.8001590809,1112.0
517,117724.88098736532,289056.02024439815,1396.0
518,233756.14894527744,234837.50555227604,513.0
519,782047.9253561217,340739.4111542823,410.0
520,687578.2257375862,359681.4650285952,589.0
521,165802.75557987246,51139.94767522719,788.0
522,755646.9032018252,407021.27246053517,1085.0
523,828787.3701414496,462199.5550284637,776.0
524,77711.24407517142,237774.56329791714,716.0
525,442253.7599218393,254169.71074065566,1320.0
526,543818.2314068181,388958.09124874324,2144.0
527,187529.89787386596,334993.3622213518,2005.0
528,46500.87578889489,83771.09520881716,977.0
529,332880.3154620174,361262.13309655245,2137.0
530,616586.8195339208,492075.2885063421,431.0
531,409205.7138276968,308288.64791428205,1901.0
532,253175.82482543937,297597.7349202614,638.0
533,439505.239534958,362368.9543680139,2730.0
534,244288.3412421717,289879.7991470713,833.0
535,75447.89460100787,140272.02164595108,1337.0
536,135160.51880578016,120814.28226164356,1963.0
537,793590.2374874596,488450.3622946469,1432.0
538,42313.43192379718,178810.85356178228,2084.0
539,756411.4579426802,482145.9349886067,1146.0
540,728588.8265837037,397573.9313563714,1000.0
541,719703.1051332096,348021.5552199492,1188.0
542,123974.14194742806,308424.75203648675,1407.0
543,367904.8590081656,294747.5423729317,2271.0
544,286578.62941491284,271162.6353589278,265.0
545,591375.2813409343,315848.18727123365,1489.0
546,231280.26016574894,283475.30941629875,2950.0
547,251858.8867179391,392645.40259651653,1221.0
548,385949.28269008856,382907.2141245976,2147.0
549,635097.4087171573,479108.6425368441,1224.0
550,186857.61008686404,351130.0435324125,1069.0
551,763474.4991504957,321766.36841239873,808.0
552,367804.5506291993,422522.145082972,1218.0
553,127727.45212459285,134105.8254730003,1601.0
554,628300.2135398507,394199.5216358593,1366.0
555,158936.546497669,275195.24855066556,3074.0
556,710247.0284627341,378857.9693890475,681.0
557,136213.63560913218,87734.68389735091,2409.0
558,785315.3017760317,362944.66463204566,629.0
559,644909.7962571317,496239.521476103,786.0
560,644495.0471438633,417450.6040901318,1812.0
561,123962.02816340624,118959.38378914166,2561.0
562,274319.23834286036,364365.37299949955,2294.0
563,689543.2399885035,365286.6317403605,653.0
564,177710.75843444042,36545.39715170115,117.0
565,572490.8946166553,423656.74967915844,2316.0
566,116267.49761535786,192242.81520383805,2288.0
567,801920.0809905892,414335.5333802486,334.0
568,633297.8357488571,331387.91461374704,1734.0
569,529845.8897667036,433925.06739720237,1004.0
570,225595.0249133226,317106.7560809329,646.0
571,105468.9517157345,233806.35055087693,1165.0
572,738193.3844195378,366771.5998446774,461.0
573,310474.7587062367,289987.3253434375,497.0
574,280941.4637798237,341286.6369232824,1469.0
575,628517.0749753539,504232.87586703803,651.0
576,425949.9134317623,320012.24824959785,1806.0
577,255724.42931538878,275635.3128789561,1343.0
578,504744.9661908787,249112.02543878276,87.0
579,637639.3843495618,453293.0000339439,1304.0
580,704733.0982894816,351322.5553319873,920.0
581,158231.03227526584,64416.98925195355,1004.0
582,794050.633718557,402240.13437573146,390.0
583,383216.693256066,413064.27842972707,1952.0
584,451160.5464918749,419855.69956865814,910.0
585,159081.7775047595,118626.8935746681,1632.0
586,623254.346939902,456503.6978443591,967.0
587,306482.2920167881,426743.1993853403,740.0
588,209277.06176412746,295936.6617134884,2799.0
589,815116.0111012603,443599.3888147371,795.0
590,79718.36566051358,138859.93195436802,1056.0
591,103129.38322858425,272459.68272101507,1119.0
592,398848.85570829915,460048.6582139861,979.0
593,345953.03171702725,341578.1601519659,1499.0
594,271279.61426371476,260126.96547205187,685.0
595,336907.56335852115,323582.7406957848,2089.0
596,297336.8297587889,309852.0759601658,1464.0
597,90635.19945836527,217090.4716985654,2221.0
598,613871.4688512934,387066.6063310299,900.0
599,302811.1512100097,266092.03354949225,379.0
600,803452.4280176254,343938.25363933947,395.0
601,818412.743077212,557343.7783210101,254.0
602,780005.6031253703,544906.7895092648,428.0
603,365496.9859949882,371747.49004462827,1535.0
604,512035.7395402834,307371.85211597756,2386.0
605,430386.0417449339,330696.43476407416,1966.0
606,653016.6315699611,497459.5847231867,580.0
607,275106.16592665605,285326.44207323994,993.0
608,205592.9967114937,76967.49318421353,2097.0
609,218205.19066863752,277084.4031933211,3371.0
610,787701.1360220474,357878.0344409365,1308.0
611,192331.68963252706,221372.8006241601,1659.0
612,454666.30510131764,399767.8166019311,2147.0
613,434820.6676578947,407951.260996975,1104.0
614,335677.6394430748,375942.0072369529,956.0
615,168670.69559882703,196752.20138321258,1940.0
616,697968.9845078734,435683.6952505838,2166.0
617,104613.42672171857,103328.35785251576,1450.0
618,89777.64617444872,69675.43031171523,1088.0
619,734350.5290676288,355457.9280711841,1388.0
